"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3159",554430,"Zack Wheeler",2019,"3159","100.0","0.258","0.133","0.316","0.391","0.294","0.304","0.251","196","760","87.0","12.4","2288","93.1","93.94","369","1598","1550","0.8","6.66","112","150","112","145","295","314","293"
"3158",622491,"Luis Castillo",2019,"3158","100.0","0.202","0.141","0.265","0.343","0.277","0.283","0.210","139","688","87.3","5.9","2112","91.6","89.71","531","1473","1656","-1.9","5.36","116","156","116","147","289","314","289"
"3139",450203,"Charlie Morton",2019,"3139","100.0","0.215","0.126","0.299","0.340","0.270","0.281","0.222","154","717","86.9","9.2","2477","87.3","86.31","440","1484","1638","-1.0","5.80","108","156","115","148","293","323","298"
"3132",621244,"Jose Berrios",2019,"3132","100.0","0.251","0.154","0.301","0.404","0.300","0.310","0.248","194","774","87.0","14.0","2136","87.8","87.84","358","1531","1584","0.0","6.33","108","153","114","147","297","323","296"
"3118",571510,"Matthew Boyd",2019,"3118","100.0","0.247","0.218","0.310","0.465","0.320","0.298","0.224","178","721","89.1","19.6","2348","85.9","85.75","484","1550","1556","-0.2","6.07","107","150","115","147","299","329","291"
"3113",425844,"Zack Greinke",2019,"3113","100.0","0.228","0.136","0.274","0.364","0.263","0.288","0.243","175","767","87.5","11.0","2245","85.3","84.63","350","1449","1654","-0.7","5.75","113","155","116","151","297","325","302"
"3095",592789,"Noah Syndergaard",2019,"3095","100.0","0.256","0.154","0.315","0.410","0.301","0.286","0.235","194","758","86.8","9.9","2091","93.6","93.94","421","1557","1512","0.3","6.39","112","150","112","144","297","315","294"
"3091",645261,"Sandy Alcantara",2019,"3091","100.0","0.241","0.156","0.274","0.397","0.308","0.327","0.248","179","743","87.3","11.8","2347","91.5","90.31","360","1510","1549","-1.2","5.62","108","155","117","148","300","323","297"
"3064",592662,"Robbie Ray",2019,"3064","100.0","0.234","0.207","0.315","0.441","0.323","0.327","0.232","150","642","88.9","14.7","2181","88.1","87.75","453","1375","1669","-0.3","6.03","111","151","116","150","301","327","300"
"3047",573186,"Marcus Stroman",2019,"3047","100.0","0.257","0.127","0.308","0.384","0.300","0.298","0.248","183","711","88.1","5.7","2543","89.6","88.63","336","1363","1670","-1.0","5.55","111","152","115","148","299","318","297"
"3043",452657,"Jon Lester",2019,"3043","100.0","0.294","0.176","0.350","0.470","0.344","0.341","0.277","205","698","88.6","12.2","2305","86.3","86.30","293","1381","1646","0.0","6.11","107","150","109","149","296","319","294"
"3036",527054,"Julio Teheran",2019,"3036","100.0","0.229","0.160","0.270","0.389","0.310","0.329","0.243","148","645","89.0","15.6","2372","86.6","86.39","305","1370","1648","-0.2","6.03","109","151","113","150","306","327","298"
"3006",502188,"Jeff Samardzija",2019,"3006","100.0","0.225","0.186","0.242","0.411","0.289","0.335","0.259","152","677","89.5","16.9","2461","88.7","88.44","289","1445","1546","-0.3","6.05","111","153","115","149","297","327","300"
"3005",467100,"Ivan Nova",2019,"3005","100.0","0.303","0.180","0.323","0.483","0.351","0.357","0.299","225","743","88.8","10.7","2165","88.5","87.90","270","1458","1526","-0.6","5.84","109","150","112","149","294","322","295"
"2992",543699,"Tanner Roark",2019,"2992","100.0","0.275","0.192","0.323","0.467","0.340","0.349","0.275","180","655","88.9","15.5","2184","87.9","87.06","286","1360","1607","-0.8","5.79","114","153","118","149","294","320","293"
"2975",502190,"Mike Leake",2019,"2975","100.0","0.286","0.219","0.296","0.506","0.341","0.360","0.298","227","793","90.6","11.7","2116","85.3","83.66","270","1493","1466","-1.6","5.17","111","154","112","148","297","321","296"
"2968",489119,"Wade Miley",2019,"2968","100.0","0.254","0.152","0.289","0.406","0.311","0.311","0.249","164","646","87.5","8.2","2175","85.6","84.84","302","1316","1638","-0.8","5.75","108","152","116","147","290","319","296"
"2962",518876,"Merrill Kelly",2019,"2962","100.0","0.260","0.188","0.294","0.447","0.319","0.351","0.275","184","709","89.9","12.5","2422","88.3","88.02","311","1388","1561","-0.3","6.14","112","153","116","152","302","328","301"
"2960",519144,"Rick Porcello",2019,"2960","100.0","0.278","0.205","0.310","0.483","0.338","0.337","0.265","198","712","88.4","15.6","2368","86.1","85.60","262","1452","1493","-0.5","5.88","111","152","116","149","284","323","294"
"2926",596001,"Jakob Junis",2019,"2926","100.0","0.276","0.193","0.318","0.468","0.340","0.353","0.276","192","696","90.1","12.7","2190","86.7","85.88","300","1323","1590","-0.8","5.64","112","151","119","141","301","326","306"
"2909",543243,"Sonny Gray",2019,"2909","100.0","0.196","0.129","0.259","0.325","0.265","0.290","0.214","122","622","88.1","8.9","2676","88.4","87.86","345","1215","1674","-0.5","6.20","116","155","117","147","293","316","289"
"2899",571666,"Mike Fiers",2019,"2899","100.0","0.243","0.165","0.256","0.408","0.303","0.343","0.266","166","683","88.1","15.8","2368","85.9","84.77","250","1364","1519","-1.1","5.60","111","149","120","151","299","325","300"
"2876",425794,"Adam Wainwright",2019,"2876","100.0","0.273","0.166","0.323","0.440","0.330","0.335","0.269","181","662","88.9","10.3","2418","83.1","83.02","232","1204","1649","-0.1","6.20","112","151","110","149","297","323","299"
"2867",571945,"Miles Mikolas",2019,"2867","100.0","0.272","0.177","0.304","0.449","0.319","0.336","0.281","193","710","88.5","10.3","2327","88.6","88.21","304","1402","1442","-0.4","6.03","113","151","111","149","296","322","299"
"2848",641712,"Dakota Hudson",2019,"2848","100.0","0.245","0.158","0.275","0.403","0.316","0.340","0.264","160","652","89.3","3.3","2202","90.7","90.97","297","1246","1580","0.3","6.27","113","150","110","148","296","321","299"
"2848",506433,"Yu Darvish",2019,"2848","100.0","0.213","0.198","0.268","0.411","0.294","0.302","0.227","140","657","88.6","12.6","2517","88.3","88.16","411","1354","1460","-0.1","6.00","114","151","111","152","294","320","296"
"2838",621111,"Walker Buehler",2019,"2838","100.0","0.223","0.145","0.292","0.368","0.270","0.282","0.231","153","685","89.2","12.7","2586","92.8","92.70","381","1420","1403","-0.1","6.08","112","158","118","146","297","317","298"
"2836",456701,"Homer Bailey",2019,"2836","100.0","0.256","0.147","0.302","0.403","0.307","0.328","0.268","162","632","90.3","13.8","1805","88.5","88.75","332","1372","1457","0.3","6.30","113","150","123","143","303","327","304"
"2826",500779,"Jose Quintana",2019,"2826","100.0","0.282","0.158","0.329","0.440","0.321","0.333","0.277","191","678","90.0","11.2","1981","86.9","87.03","262","1246","1573","0.1","6.25","110","151","111","150","297","320","295"
"2814",608337,"Lucas Giolito",2019,"2814","100.0","0.205","0.169","0.274","0.373","0.275","0.287","0.218","131","640","88.1","17.7","2095","88.9","89.58","452","1391","1415","0.7","6.60","109","150","113","148","296","323","298"
"2787",543606,"Jake Odorizzi",2019,"2787","100.0","0.234","0.137","0.305","0.371","0.289","0.304","0.233","139","593","89.2","18.3","2096","89.0","88.43","380","1363","1411","-0.6","5.83","109","154","114","147","298","326","295"
"2787",547888,"Masahiro Tanaka",2019,"2787","100.0","0.261","0.189","0.293","0.450","0.314","0.322","0.265","186","713","89.0","11.0","2072","86.6","85.60","326","1401","1381","-1.0","5.58","108","153","115","149","293","325","290"
"2778",605164,"Dylan Bundy",2019,"2778","100.0","0.256","0.205","0.297","0.462","0.329","0.314","0.242","161","628","88.2","14.0","2308","85.9","84.92","383","1358","1411","-1.0","5.65","106","153","115","147","302","326","299"
"2772",527048,"Martin Perez",2019,"2772","100.0","0.279","0.159","0.318","0.439","0.334","0.312","0.250","184","659","86.1","9.6","2114","89.7","89.27","292","1346","1412","-0.4","5.95","105","152","113","145","299","322","288"
"2770",453286,"Max Scherzer",2019,"2770","100.0","0.222","0.149","0.322","0.371","0.269","0.258","0.206","144","650","87.6","13.5","2337","89.6","89.03","491","1447","1309","-0.6","5.93","114","151","112","148","300","314","296"
"2764",502043,"Kyle Gibson",2019,"2764","100.0","0.275","0.168","0.333","0.443","0.333","0.338","0.273","175","637","88.3","7.1","2156","88.4","89.17","376","1276","1469","0.8","6.62","109","153","113","146","297","324","293"
"2759",663423,"Trent Thornton",2019,"2759","100.0","0.259","0.181","0.302","0.439","0.325","0.333","0.262","156","603","88.2","16.8","2543","87.6","86.74","299","1219","1528","-0.9","5.65","110","154","118","149","303","326","301"
"2721",579328,"Yusei Kikuchi",2019,"2721","100.0","0.295","0.244","0.310","0.539","0.368","0.352","0.283","195","660","89.2","12.4","2172","87.3","87.57","259","1294","1415","0.3","6.29","105","153","113","145","300","317","287"
"2711",641745,"Brad Keller",2019,"2711","100.0","0.247","0.135","0.283","0.381","0.307","0.335","0.262","154","624","89.1","9.1","2294","90.6","90.19","246","1235","1454","-0.4","5.79","111","151","119","140","303","326","304"
"2706",547943,"Hyun Jin Ryu",2019,"2706","100.0","0.234","0.126","0.282","0.359","0.263","0.289","0.256","160","685","86.6","7.3","1969","84.7","85.17","332","1333","1358","0.5","6.38","112","156","114","146","297","317","290"
"2702",571927,"Steven Matz",2019,"2702","100.0","0.260","0.193","0.304","0.454","0.325","0.332","0.260","163","626","88.9","10.5","2189","88.8","88.76","287","1246","1436","0.0","6.28","110","150","110","145","299","317","292"
"2698",543294,"Kyle Hendricks",2019,"2698","100.0","0.249","0.148","0.292","0.397","0.291","0.302","0.254","168","675","86.4","14.0","2101","83.0","82.30","292","1322","1359","-0.7","5.73","113","151","110","152","295","320","295"
"2696",457918,"J.A. Happ",2019,"2696","100.0","0.258","0.211","0.281","0.469","0.329","0.334","0.261","160","620","89.2","13.7","2162","89.3","88.74","306","1286","1394","-0.6","5.93","106","153","115","148","297","326","288"
"2690",434671,"Anibal Sanchez",2019,"2690","100.0","0.236","0.170","0.266","0.406","0.296","0.316","0.254","153","647","87.0","14.9","2081","86.4","86.35","291","1296","1383","-0.1","6.06","114","151","113","147","302","316","295"
"2681",607644,"John Means",2019,"2681","100.0","0.234","0.183","0.256","0.417","0.295","0.309","0.241","138","590","87.5","20.2","2347","86.5","85.79","285","1281","1389","-0.7","5.79","105","152","116","147","301","324","295"
"2680",605200,"Zach Davies",2019,"2680","100.0","0.256","0.160","0.276","0.416","0.310","0.348","0.284","155","606","88.5","14.1","2118","85.1","84.31","202","1161","1507","-0.8","5.78","109","158","114","151","302","321","295"
"2672",477132,"Clayton Kershaw",2019,"2672","100.0","0.222","0.173","0.267","0.394","0.281","0.296","0.235","145","654","88.6","11.7","2547","86.2","85.03","376","1355","1299","-1.2","5.97","112","155","112","145","297","316","291"
"2670",608331,"Max Fried",2019,"2670","100.0","0.270","0.149","0.338","0.419","0.315","0.303","0.254","174","644","89.2","4.3","2326","87.2","86.97","325","1250","1400","-0.2","5.98","108","151","114","149","306","326","296"
"2668",543101,"Anthony DeSclafani",2019,"2668","100.0","0.238","0.184","0.276","0.422","0.300","0.305","0.238","151","635","89.1","12.3","2168","91.3","91.54","302","1278","1380","0.2","6.24","116","157","115","148","292","315","289"
"2665",572020,"James Paxton",2019,"2665","100.0","0.242","0.181","0.315","0.423","0.310","0.299","0.228","138","570","89.2","17.9","2177","91.2","91.16","408","1327","1332","0.0","6.24","106","153","116","148","295","322","285"
"2661",605513,"Spencer Turnbull",2019,"2661","100.0","0.267","0.146","0.333","0.413","0.329","0.335","0.258","154","576","89.6","9.6","2365","90.4","90.11","308","1245","1395","-0.3","6.01","110","149","113","149","298","329","295"
"2661",592761,"Caleb Smith",2019,"2661","100.0","0.223","0.230","0.252","0.454","0.315","0.328","0.230","128","573","88.6","23.3","2310","87.7","85.64","366","1311","1332","-2.1","5.04","105","153","115","148","302","324","294"
"2659",474463,"Brett Anderson",2019,"2659","100.0","0.265","0.142","0.280","0.408","0.308","0.353","0.287","181","682","89.6","5.0","1941","86.9","86.02","215","1250","1391","-0.9","5.61","105","148","120","148","300","324","297"
"2657",605397,"Joe Musgrove",2019,"2657","100.0","0.254","0.183","0.300","0.437","0.309","0.312","0.253","168","662","88.8","11.7","2397","88.3","87.61","338","1367","1269","-0.7","5.66","111","150","120","148","304","325","300"
"2643",664192,"Joey Lucchesi",2019,"2643","100.0","0.233","0.173","0.274","0.405","0.298","0.305","0.234","144","619","88.3","11.4","2174","86.2","86.15","303","1184","1443","0.0","6.05","112","153","114","149","305","328","303"
"2616",608566,"German Marquez",2019,"2616","100.0","0.259","0.182","0.308","0.441","0.311","0.335","0.276","174","671","91.2","7.0","2348","91.0","89.45","343","1282","1316","-1.5","5.14","114","153","113","148","306","333","306"
"2571",621107,"Zach Eflin",2019,"2571","100.0","0.268","0.184","0.295","0.452","0.325","0.313","0.251","172","642","88.1","12.1","2165","90.1","90.52","248","1220","1336","0.4","6.41","110","151","116","150","300","324","295"
"2557",647336,"Mike Soroka",2019,"2557","100.0","0.236","0.104","0.282","0.340","0.272","0.312","0.265","153","647","88.1","6.7","2348","88.8","86.91","281","1233","1301","-1.9","5.07","108","151","113","149","305","327","296"
"2511",488768,"Andrew Cashner",2019,"2511","100.0","0.253","0.165","0.280","0.418","0.317","0.348","0.266","144","570","89.7","10.3","2038","88.7","87.23","256","1136","1369","-1.5","5.28","108","153","117","148","295","324","300"
"2510",641778,"Eric Lauer",2019,"2510","100.0","0.268","0.161","0.318","0.430","0.321","0.317","0.251","158","589","89.7","14.2","2242","87.9","87.15","238","1186","1304","-0.7","5.76","112","152","113","149","303","324","301"
"2505",450306,"Jason Vargas",2019,"2505","100.0","0.249","0.175","0.280","0.424","0.318","0.331","0.247","141","566","87.5","16.5","2248","80.2","79.50","262","1079","1408","-0.7","5.85","109","150","113","146","301","321","292"
"2466",519242,"Chris Sale",2019,"2466","100.0","0.221","0.191","0.311","0.412","0.294","0.287","0.215","123","556","88.5","12.9","2351","86.5","85.52","372","1163","1284","-1.0","5.83","107","150","115","149","287","322","286"
"2456",543475,"Jordan Lyles",2019,"2456","100.0","0.243","0.210","0.286","0.454","0.321","0.315","0.235","131","538","89.9","14.7","2239","87.9","88.04","278","1158","1291","0.1","6.55","109","152","118","150","305","321","298"
"2433",628317,"Kenta Maeda",2019,"2433","100.0","0.202","0.168","0.245","0.371","0.274","0.279","0.218","114","564","86.1","15.4","2195","86.6","85.98","382","1174","1239","-0.6","5.74","112","158","119","145","294","317","295"
"2430",605135,"Chris Bassitt",2019,"2430","100.0","0.229","0.165","0.268","0.394","0.299","0.308","0.236","125","545","87.8","15.1","2183","89.1","88.55","237","1130","1283","-0.5","6.01","111","148","119","151","300","325","300"
"2394",430935,"Cole Hamels",2019,"2394","100.0","0.260","0.146","0.320","0.406","0.317","0.327","0.251","141","542","90.1","11.3","1968","87.3","87.22","308","1121","1254","-0.1","6.15","109","150","109","150","299","322","295"
"2392",502624,"Chase Anderson",2019,"2392","100.0","0.240","0.209","0.270","0.449","0.320","0.325","0.251","126","526","87.3","19.8","2233","88.8","87.09","279","1183","1193","-1.7","5.58","109","156","115","151","302","318","294"
"2373",592351,"Jon Gray",2019,"2373","100.0","0.259","0.178","0.319","0.437","0.323","0.332","0.271","147","567","89.7","8.3","2150","91.2","91.17","296","1121","1240","0.0","5.98","114","153","114","148","306","332","307"
"2361",596057,"Daniel Norris",2019,"2361","100.0","0.275","0.198","0.312","0.473","0.334","0.339","0.269","154","560","90.9","11.7","2249","87.3","85.98","257","1113","1233","-1.3","5.35","106","150","114","146","300","328","291"
"2327",592866,"Trevor Williams",2019,"2327","100.0","0.284","0.229","0.308","0.513","0.351","0.350","0.278","162","571","88.0","17.2","2114","88.5","89.17","259","1159","1150","0.7","6.49","110","150","119","148","304","323","298"
"2305",592717,"Aaron Sanchez",2019,"2305","100.0","0.278","0.179","0.321","0.457","0.353","0.348","0.265","145","521","89.6","9.0","2300","89.0","88.91","224","1023","1267","-0.1","6.29","110","153","116","150","303","325","301"
"2290",670950,"Trevor Richards",2019,"2290","100.0","0.249","0.173","0.293","0.422","0.316","0.319","0.241","127","510","88.4","17.8","2231","86.5","86.76","295","1115","1161","0.3","6.41","107","157","117","148","299","326","299"
"2280",663978,"Chris Paddack",2019,"2280","100.0","0.204","0.176","0.239","0.380","0.268","0.285","0.222","107","524","87.7","15.6","2072","89.3","89.86","295","1188","1079","0.6","6.60","115","153","114","151","303","324","304"
"2278",501381,"Michael Pineda",2019,"2278","100.0","0.253","0.177","0.294","0.430","0.301","0.316","0.254","141","558","89.6","16.5","1982","89.1","88.38","305","1183","1072","-0.7","6.20","108","153","113","147","297","325","292"
"2275",642098,"Glenn Sparkman",2019,"2275","100.0","0.296","0.231","0.300","0.527","0.364","0.370","0.295","164","554","90.8","14.2","2275","88.9","89.31","185","1085","1179","0.4","6.37","112","149","117","143","301","326","303"
"2247",593334,"Domingo German",2019,"2247","100.0","0.228","0.214","0.260","0.442","0.305","0.322","0.248","125","548","89.4","15.2","2489","88.0","87.27","314","1106","1130","-0.7","5.78","109","154","115","150","293","325","292"
"2237",622608,"Antonio Senzatela",2019,"2237","100.0","0.313","0.193","0.336","0.506","0.373","0.367","0.300","161","514","90.0","4.9","2116","89.8","89.88","179","1002","1223","0.1","6.06","112","152","115","148","308","335","308"
"2211",641816,"Tyler Mahle",2019,"2211","100.0","0.266","0.191","0.308","0.457","0.326","0.321","0.255","136","512","89.1","9.2","2214","89.3","88.85","237","1013","1183","-0.4","6.34","115","156","117","147","294","317","291"
"2199",608379,"Michael Wacha",2019,"2199","100.0","0.290","0.213","0.318","0.503","0.360","0.363","0.281","143","493","88.3","9.7","1944","88.9","89.58","222","1043","1143","0.7","6.56","110","151","111","149","297","321","296"
"2192",453562,"Jake Arrieta",2019,"2192","100.0","0.283","0.165","0.320","0.448","0.339","0.343","0.272","149","527","89.3","6.8","2209","89.6","88.79","174","953","1220","-0.8","5.85","109","150","115","150","299","323","295"
"2161",518633,"Danny Duffy",2019,"2161","100.0","0.251","0.187","0.285","0.438","0.323","0.346","0.264","125","498","89.3","16.3","2269","87.7","88.21","248","1025","1125","0.5","6.48","110","151","118","143","304","327","305"
"2130",592767,"Drew Smyly",2019,"2130","100.0","0.278","0.280","0.310","0.558","0.379","0.365","0.264","126","453","89.0","17.8","1997","85.9","84.56","245","943","1181","-1.3","5.38","106","151","114","147","297","322","295"
"2120",592826,"Vince Velasquez",2019,"2120","100.0","0.263","0.236","0.309","0.499","0.347","0.341","0.254","120","457","90.8","17.7","2400","91.2","91.39","270","1041","1061","0.2","6.34","111","151","118","150","300","325","296"
"2098",502042,"Chris Archer",2019,"2098","100.0","0.249","0.212","0.304","0.461","0.334","0.352","0.263","114","458","89.4","14.6","2309","91.1","90.48","284","956","1130","-0.6","5.70","109","149","121","148","306","325","300"
"2090",605182,"Mike Clevinger",2019,"2090","100.0","0.209","0.122","0.306","0.331","0.261","0.270","0.209","96","459","86.4","13.1","2291","88.6","89.08","337","954","1132","0.5","6.42","109","153","116","150","288","312","293"
"2060",605347,"Jorge Lopez",2019,"2060","100.0","0.286","0.227","0.314","0.513","0.360","0.367","0.274","140","489","90.4","10.1","2080","89.3","89.10","197","917","1128","-0.2","6.07","111","151","121","139","301","327","302"
"2057",642232,"Ryan Yarbrough",2019,"2057","100.0","0.228","0.155","0.264","0.383","0.273","0.299","0.256","121","530","84.8","15.1","2148","82.4","81.90","227","1014","1028","-0.5","6.00","107","153","114","146","292","322","293"
"2056",592716,"Adrian Sampson",2019,"2056","100.0","0.302","0.266","0.327","0.568","0.382","0.380","0.299","156","516","91.0","15.4","2186","89.0","88.44","217","1011","1030","-0.6","5.99","107","153","112","148","294","322","302"
"2047",642558,"Ariel Jurado",2019,"2047","100.0","0.304","0.222","0.322","0.526","0.362","0.370","0.297","148","487","90.0","9.4","1948","89.4","88.95","170","940","1098","-0.5","5.97","108","152","113","147","293","323","299"
"2028",595881,"Tyler Beede",2019,"2028","100.0","0.271","0.190","0.313","0.462","0.339","0.351","0.269","127","468","91.3","11.7","2168","89.5","89.19","244","932","1087","-0.3","6.02","110","154","115","149","299","329","300"
"2001",643230,"Steven Brault",2019,"2001","100.0","0.265","0.172","0.313","0.438","0.338","0.343","0.261","117","441","90.3","10.2","1992","88.7","89.94","211","904","1087","1.2","6.82","109","151","120","147","308","324","295"
"1985",630023,"Yonny Chirinos",2019,"1985","100.0","0.225","0.189","0.246","0.414","0.286","0.327","0.263","112","498","88.0","11.4","2072","90.7","90.41","221","978","997","-0.3","6.11","108","160","117","148","292","325","298"
"1979",605540,"Brandon Woodruff",2019,"1979","100.0","0.240","0.117","0.322","0.357","0.281","0.286","0.235","109","454","86.1","12.4","2181","93.1","93.14","258","1010","959","0.0","6.26","110","156","114","152","300","319","291"
"1956",519141,"Drew Pomeranz",2019,"1956","100.0","0.261","0.206","0.340","0.467","0.340","0.317","0.232","105","403","89.6","14.5","2368","88.6","86.34","239","888","1057","-2.3","4.96","108","151","113","147","300","323","295"
"1955",453281,"Wade LeBlanc",2019,"1955","100.0","0.291","0.243","0.309","0.534","0.359","0.348","0.282","145","498","89.4","13.9","1861","81.7","81.26","204","918","1033","-0.4","5.94","106","153","115","146","300","317","286"
"1945",468504,"Jhoulys Chacin",2019,"1945","100.0","0.280","0.241","0.311","0.521","0.365","0.359","0.277","115","411","89.1","17.0","2165","84.4","83.20","171","824","1107","-1.2","5.42","111","157","116","152","298","319","295"
"1899",605156,"Aaron Brooks",2019,"1899","100.0","0.271","0.222","0.290","0.493","0.348","0.351","0.270","118","436","89.7","12.2","2063","88.6","87.83","170","870","1015","-0.8","5.83","108","152","117","149","297","324","298"
"1892",668676,"Zach Plesac",2019,"1892","100.0","0.237","0.200","0.257","0.437","0.315","0.353","0.278","102","430","89.6","14.6","1974","89.1","88.44","194","895","989","-0.7","5.80","110","152","115","150","290","313","291"
"1891",605483,"Blake Snell",2019,"1891","100.0","0.241","0.150","0.343","0.391","0.301","0.270","0.207","96","399","88.3","15.0","2273","89.5","89.69","354","924","965","0.2","6.41","106","152","111","145","293","319","290"
"1888",592314,"Mike Foltynewicz",2019,"1888","100.0","0.244","0.215","0.270","0.460","0.319","0.331","0.259","109","446","89.1","15.0","2259","89.9","89.65","216","918","964","-0.2","6.02","110","151","112","150","305","327","298"
"1866",519455,"Jordan Zimmermann",2019,"1866","100.0","0.311","0.215","0.341","0.526","0.363","0.370","0.302","145","466","90.1","12.7","2278","86.9","86.62","177","869","986","-0.3","5.92","110","149","112","148","296","331","293"
"1864",572971,"Dallas Keuchel",2019,"1864","100.0","0.265","0.161","0.303","0.426","0.327","0.333","0.263","115","434","88.8","3.0","1999","85.5","85.24","176","831","1003","-0.3","5.89","107","151","114","148","308","328","297"
"1862",456034,"David Price",2019,"1862","100.0","0.258","0.182","0.336","0.441","0.319","0.314","0.246","109","422","88.4","12.6","2093","89.0","88.16","230","885","965","-0.8","5.84","107","149","115","149","288","323","287"
"1821",656222,"Jalen Beeks",2019,"1821","100.0","0.281","0.154","0.329","0.435","0.337","0.349","0.278","115","409","88.5","10.1","2071","87.0","86.65","201","831","977","-0.3","6.10","106","155","112","146","291","322","296"
"1815",593679,"Gabriel Ynoa",2019,"1815","100.0","0.280","0.256","0.273","0.536","0.354","0.368","0.290","126","450","90.0","11.0","2105","89.5","88.45","182","906","905","-1.1","5.58","108","153","116","148","300","326","299"
"1810",605288,"Adrian Houser",2019,"1810","100.0","0.244","0.155","0.304","0.399","0.302","0.283","0.223","101","414","86.7","5.3","2108","91.1","91.57","194","799","996","0.5","6.39","109","157","114","150","302","320","296"
"1796",641154,"Pablo Lopez",2019,"1796","100.0","0.261","0.174","0.303","0.435","0.318","0.327","0.260","111","425","88.2","10.0","2089","89.2","89.87","205","868","909","0.7","6.73","107","156","117","148","298","323","298"
"1794",592644,"Adam Plutko",2019,"1794","100.0","0.267","0.221","0.280","0.488","0.333","0.331","0.270","115","430","88.1","19.9","2307","87.6","87.06","167","886","903","-0.5","5.83","111","152","117","150","291","315","289"
