"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3687",545333,"Trevor Bauer",2019,"3687","100.0","0.230","0.199","0.290","0.429","0.316","0.315","0.228","184","800","88.6","16.5","2456","87.1","86.69","489","1662","1999","-0.4","6.00","111","153","115","148","291","311","289"
"3553",458681,"Lance Lynn",2019,"3553","100.0","0.243","0.146","0.322","0.390","0.294","0.292","0.231","195","801","87.9","13.9","2436","91.9","91.51","497","1729","1803","-0.4","6.23","110","154","114","149","293","322","300"
"3495",593958,"Eduardo Rodriguez",2019,"3495","100.0","0.253","0.138","0.318","0.391","0.307","0.296","0.225","195","770","86.3","9.3","2159","90.4","90.00","444","1622","1865","-0.4","5.92","107","150","115","149","287","322","288"
"3448",434378,"Justin Verlander",2019,"3448","100.0","0.172","0.188","0.219","0.361","0.243","0.250","0.188","137","796","87.3","18.2","2599","89.6","88.42","602","1785","1652","-1.2","5.83","113","157","117","152","290","316","297"
"3384",544931,"Stephen Strasburg",2019,"3384","100.0","0.210","0.139","0.276","0.349","0.265","0.272","0.214","161","768","87.9","7.8","2245","88.7","89.45","492","1599","1761","0.8","6.71","114","151","112","149","303","316","296"
"3362",543037,"Gerrit Cole",2019,"3362","100.0","0.186","0.156","0.276","0.343","0.246","0.241","0.185","142","762","87.6","14.0","2559","92.4","92.00","624","1675","1680","-0.4","6.11","112","155","119","151","289","316","297"
"3358",501985,"Mike Minor",2019,"3358","100.0","0.244","0.151","0.288","0.395","0.301","0.303","0.233","190","779","86.9","16.6","2563","88.4","87.47","421","1598","1746","-0.9","5.61","105","152","111","147","293","322","298"
"3332",669456,"Shane Bieber",2019,"3332","100.0","0.230","0.163","0.298","0.393","0.280","0.303","0.244","186","810","90.5","12.3","2256","88.4","88.03","487","1588","1734","-0.4","6.27","111","152","115","150","290","312","290"
"3332",605400,"Aaron Nola",2019,"3332","100.0","0.233","0.160","0.297","0.393","0.304","0.315","0.239","176","755","89.2","9.1","2198","86.7","86.94","393","1475","1836","0.2","6.43","111","151","117","150","299","323","294"
"3299",571578,"Patrick Corbin",2019,"3299","100.0","0.227","0.149","0.295","0.375","0.285","0.308","0.229","169","746","89.9","8.4","2245","86.7","86.58","492","1548","1733","-0.1","6.20","109","150","112","147","304","316","295"
"3297",594798,"Jacob deGrom",2019,"3297","100.0","0.207","0.117","0.285","0.323","0.250","0.256","0.207","154","745","86.5","12.8","2302","94.0","94.67","549","1743","1527","0.7","6.82","113","150","111","146","297","315","294"
"3244",518516,"Madison Bumgarner",2019,"3244","100.0","0.245","0.181","0.292","0.426","0.300","0.325","0.258","191","780","90.4","18.3","2435","87.3","87.23","404","1637","1589","-0.1","6.22","108","150","113","146","300","326","295"
"3232",594835,"Marco Gonzales",2019,"3232","100.0","0.264","0.157","0.295","0.422","0.311","0.315","0.257","210","794","88.3","14.7","2246","84.3","83.92","277","1534","1684","-0.4","6.04","105","154","114","146","297","317","288"
"3179",656427,"Jack Flaherty",2019,"3179","100.0","0.192","0.143","0.244","0.335","0.254","0.281","0.217","135","704","86.6","15.6","2257","89.3","89.97","469","1520","1646","0.7","6.54","113","152","112","149","297","321","299"
"3163",625643,"Reynaldo Lopez",2019,"3163","100.0","0.278","0.213","0.317","0.491","0.349","0.343","0.262","203","729","88.8","17.8","2051","90.3","90.01","380","1538","1615","-0.3","6.01","110","150","112","148","294","322","296"
