"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"673",458006,"Matt Albers",2018,"673","100.0","0.321","0.264","0.347","0.586","0.400","0.350","0.268","45","140","87.2","11.0","2043","89.1","89.28","78","333","337","0.2","6.32","108","152","115","148","302","318","293"
"670",642098,"Glenn Sparkman",2018,"670","100.0","0.303","0.155","0.338","0.458","0.342","0.323","0.273","47","155","89.0","9.0","2264","90.0","89.87","71","322","347","-0.1","6.23","110","149","110","143","300","321","298"
"667",543506,"Brandon Maurer",2018,"667","100.0","0.323","0.262","0.368","0.585","0.422","0.374","0.273","42","130","90.4","11.8","2418","90.1","89.46","73","279","387","-0.6","5.87","113","152","113","144","299","321","298"
"663",477569,"Fernando Salas",2018,"663","100.0","0.265","0.139","0.297","0.404","0.307","0.305","0.241","40","151","89.4","14.8","2090","88.0","87.38","69","309","348","-0.6","5.91","107","151","112","150","303","327","301"
"657",608334,"Carson Fulmer",2018,"657","100.0","0.280","0.250","0.299","0.530","0.400","0.437","0.302","37","132","91.0","17.7","2259","89.9","89.40","48","263","389","-0.5","5.98","107","148","110","147","285","307","292"
"656",656798,"Jacob Nix",2018,"656","100.0","0.304","0.240","0.306","0.544","0.384","0.427","0.341","52","171","91.0","16.2","2220","87.5","87.09","44","291","360","-0.4","6.14","118","151","111","147","298","318","306"
"656",502154,"Zack Britton",2018,"656","100.0","0.201","0.090","0.241","0.292","0.281","0.319","0.235","29","144","87.9","-4.7","2074","94.0","93.17","86","268","385","-0.8","5.66","107","151","110","146","291","318","286"
"655",592499,"Artie Lewicki",2018,"655","100.0","0.320","0.153","0.364","0.473","0.358","0.384","0.311","48","150","91.1","13.0","2114","87.8","87.17","60","322","330","-0.6","5.87","109","151","116","146","294","319","292"
"654",453343,"Mark Melancon",2018,"654","100.0","0.302","0.107","0.365","0.409","0.335","0.362","0.304","48","159","88.8","6.7","2501","88.5","88.16","70","299","353","-0.3","6.04","108","149","111","146","298","320","294"
"648",501822,"Chris Hatcher",2018,"648","100.0","0.289","0.174","0.321","0.463","0.358","0.338","0.271","43","149","86.5","13.6","2291","91.0","89.85","55","268","379","-1.1","5.58","111","150","118","151","298","324","302"
