"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1408",458681,"Lance Lynn",2020,"1408","100.0","0.206","0.180","0.243","0.386","0.283","0.269","0.209","64","311","88.1","17.3","2489","91.6","91.62","177","697","705","0.0","6.38","111","157","114","150","299","321","294"
"1238",669456,"Shane Bieber",2020,"1238","100.0","0.167","0.098","0.267","0.265","0.218","0.242","0.187","46","275","89.3","9.6","2346","89.0","89.58","235","578","659","0.6","6.54","107","153","117","150","293","317","290"
"1226",608566,"German Marquez",2020,"1226","100.0","0.247","0.127","0.300","0.373","0.288","0.305","0.262","78","316","88.6","6.9","2320","91.3","90.01","158","600","625","-1.3","5.32","114","153","114","148","303","328","302"
"1214",608337,"Lucas Giolito",2020,"1214","100.0","0.184","0.125","0.255","0.310","0.253","0.260","0.196","47","255","86.8","15.1","1998","88.1","88.84","225","614","597","0.7","6.73","110","150","115","150","298","322","298"
"1213",453286,"Max Scherzer",2020,"1213","100.0","0.260","0.164","0.355","0.424","0.314","0.304","0.251","70","269","87.6","18.0","2328","89.4","89.37","198","607","600","0.0","6.28","109","153","127","140","297","317","295"
"1211",605540,"Brandon Woodruff",2020,"1211","100.0","0.204","0.137","0.269","0.341","0.260","0.257","0.200","55","270","86.2","12.8","2333","93.0","93.37","169","583","622","0.4","6.66","110","153","121","150","295","320","299"
"1203",543037,"Gerrit Cole",2020,"1203","100.0","0.197","0.208","0.242","0.405","0.275","0.262","0.199","53","269","90.0","16.6","2533","92.0","92.30","204","596","604","0.3","6.52","113","151","123","150","295","323","288"
"1201",650644,"Aaron Civale",2020,"1201","100.0","0.282","0.192","0.333","0.474","0.334","0.310","0.267","82","291","87.1","10.4","2477","85.6","85.44","136","545","652","-0.2","6.09","107","153","116","150","293","320","291"
"1165",545333,"Trevor Bauer",2020,"1165","100.0","0.159","0.143","0.215","0.302","0.223","0.219","0.165","41","258","88.2","20.7","2852","87.5","87.55","163","536","622","0.0","6.41","114","153","122","154","294","319","292"
"1162",543294,"Kyle Hendricks",2020,"1162","100.0","0.240","0.132","0.272","0.372","0.265","0.266","0.239","73","304","86.2","11.0","2100","82.6","82.15","144","577","582","-0.4","5.87","112","157","114","150","292","326","296"
"1153",506433,"Yu Darvish",2020,"1153","100.0","0.211","0.111","0.297","0.321","0.246","0.259","0.228","59","280","88.0","11.7","2617","87.4","87.99","183","569","578","0.6","6.53","113","156","114","149","293","327","299"
"1153",622491,"Luis Castillo",2020,"1153","100.0","0.233","0.132","0.329","0.365","0.286","0.260","0.212","62","266","86.0","2.2","2151","92.8","91.33","192","586","564","-1.5","5.42","115","155","119","151","293","320","291"
"1148",605400,"Aaron Nola",2020,"1148","100.0","0.205","0.148","0.283","0.354","0.267","0.274","0.224","54","263","88.0","8.5","2067","86.7","87.46","169","540","605","0.8","6.88","111","153","119","149","297","326","295"
"1145",456501,"Johnny Cueto",2020,"1145","100.0","0.248","0.175","0.284","0.423","0.319","0.324","0.261","61","246","87.7","12.7","1997","86.1","85.48","103","514","624","-0.6","5.75","109","158","118","148","297","321","296"
"1139",502043,"Kyle Gibson",2020,"1139","100.0","0.275","0.185","0.313","0.460","0.350","0.347","0.283","73","265","87.9","6.1","2173","87.5","88.21","110","471","660","0.7","6.68","107","156","114","148","301","321","292"
"1136",622608,"Antonio Senzatela",2020,"1136","100.0","0.254","0.154","0.268","0.409","0.304","0.317","0.273","71","279","88.3","9.1","2166","90.2","90.29","97","525","606","0.1","6.18","115","153","118","148","302","328","303"
"1135",594798,"Jacob deGrom",2020,"1135","100.0","0.190","0.133","0.288","0.323","0.242","0.246","0.195","47","248","88.2","11.6","2370","94.8","96.17","250","610","520","1.4","6.94","114","148","123","143","293","317","296"
"1132",547943,"Hyun Jin Ryu",2020,"1132","100.0","0.234","0.117","0.303","0.352","0.275","0.266","0.232","60","256","86.1","8.8","1927","83.5","84.05","145","552","573","0.6","6.63","103","152","117","146","298","313","286"
"1124",607536,"Kyle Freeland",2020,"1124","100.0","0.278","0.155","0.305","0.433","0.330","0.332","0.284","77","277","86.1","6.5","2188","86.9","87.76","106","514","605","0.9","6.55","112","153","117","145","304","329","303"
"1117",668678,"Zac Gallen",2020,"1117","100.0","0.210","0.126","0.269","0.336","0.271","0.286","0.228","55","262","86.6","11.9","2219","88.1","88.52","146","480","631","0.4","6.63","109","157","119","150","302","331","303"
"1102",621244,"Jose Berrios",2020,"1102","100.0","0.238","0.146","0.295","0.383","0.303","0.310","0.249","57","240","88.2","13.1","2100","89.2","89.46","138","504","593","0.3","6.51","106","156","117","149","300","332","295"
"1101",471911,"Carlos Carrasco",2020,"1101","100.0","0.221","0.141","0.294","0.361","0.288","0.289","0.223","55","249","87.4","9.7","2281","89.3","90.04","175","535","562","0.7","6.55","108","154","117","150","293","320","293"
"1086",571510,"Matthew Boyd",2020,"1086","100.0","0.278","0.274","0.310","0.552","0.372","0.332","0.258","67","241","87.1","15.1","2255","85.4","85.18","147","526","554","-0.2","6.12","106","151","117","143","299","326","287"
"1085",571760,"Andrew Heaney",2020,"1085","100.0","0.246","0.168","0.302","0.414","0.301","0.307","0.250","63","256","88.3","16.4","2389","87.0","86.35","152","543","535","-0.6","5.95","109","150","116","147","308","323","291"
"1085",656302,"Dylan Cease",2020,"1085","100.0","0.234","0.243","0.239","0.477","0.349","0.372","0.280","50","214","89.8","15.2","2527","90.1","89.80","114","450","630","-0.3","6.04","110","150","114","149","300","322","299"
"1078",554430,"Zack Wheeler",2020,"1078","100.0","0.254","0.095","0.308","0.348","0.287","0.284","0.251","67","264","85.4","3.9","2287","93.4","94.93","129","569","501","1.5","7.13","110","152","118","149","296","325","295"
